#,单词,音标,解释,笔记
0,"pierre","[pjεr]","n.f. 石，石头；石子；石料；宝石",
1,"tout autour","","<div id=""NoteTop""></div><div id=""olnid358""></div><div id=""olnid359""></div><div id=""olnid360""></div><div id=""olnid361""></div>",
2,"rempart","[rɑ̃par]","n.m.（城堡等的）围墙，壁垒；防御物，保护物",
3,"sur une colline","","<div id=""NoteTop""></div><div id=""olnid363""></div><div id=""olnid364""></div><div id=""olnid365""></div><div id=""olnid366""></div>",
4,"à proximité","","<div id=""NoteTop""></div><div id=""olnid368""></div><div id=""olnid369""></div><div id=""olnid370""></div><div id=""olnid371""></div>",
5,"autour","[otur]","adv. 在周围，在四周",
6,"la Lune","","<div id=""NoteTop""></div><div id=""olnid373""></div><div id=""olnid374""></div><div id=""olnid375""></div><div id=""olnid376""></div>",
7,"là-haut","[lao]","在那上面：在天上， 在西天",
8,"vachement","[va∫mɑ̃]","adv. 非常，很，大大地",
9,"plein de trucs à voir","","<div id=""NoteTop""></div><div id=""olnid378""></div><div id=""olnid379""></div><div id=""olnid380""></div><div id=""olnid381""></div>",
10,"alternatif","[altεrnatif]","adj. 1.交替的， 轮流的， 轮换的， 往复的； 2.供选择的， 两者择一的， 非此即彼的；",
11,"les anciennes friches","","<div id=""NoteTop""></div><div id=""olnid383""></div><div id=""olnid384""></div><div id=""olnid385""></div><div id=""olnid386""></div>",
12,"comme on veut","","<div id=""NoteTop""></div><div id=""olnid388""></div><div id=""olnid389""></div><div id=""olnid390""></div><div id=""olnid391""></div>",
13,"de la rive gauche à la rive droite","","<div id=""NoteTop""></div><div id=""olnid393""></div><div id=""olnid394""></div><div id=""olnid395""></div><div id=""olnid396""></div>",
14,"contruit","","<div id=""NoteTop""></div><div id=""olnid398""></div><div id=""olnid399""></div><div id=""olnid400""></div><div id=""olnid401""></div>",
15,"récemment","[resamɑ̃]","adv. 最近，新近",
16,"rejoindre","[r(ə)ʒwɛ̃dr]","v.t. 使再接合；和……相接；重新加入；和……重聚；重返，回到；赶上，追上",
17,"de pont en pont","","<div id=""NoteTop""></div><div id=""olnid403""></div><div id=""olnid404""></div><div id=""olnid405""></div><div id=""olnid406""></div>",
18,"sur les quais","","<div id=""NoteTop""></div><div id=""olnid408""></div><div id=""olnid409""></div><div id=""olnid410""></div><div id=""olnid411""></div>",
19,"les anciennes portes","","<div id=""NoteTop""></div><div id=""olnid413""></div><div id=""olnid414""></div><div id=""olnid415""></div><div id=""olnid416""></div>",
20,"flâner","[flɑne]","v.i. 闲逛，闲荡；偷懒，游手好闲，无所事事",
21,"aller dans les terres","","<div id=""NoteTop""></div><div id=""olnid418""></div><div id=""olnid419""></div><div id=""olnid420""></div><div id=""olnid421""></div>",
22,"la côte","","<div id=""NoteTop""></div><div id=""olnid423""></div><div id=""olnid424""></div><div id=""olnid425""></div><div id=""olnid426""></div>",
23,"assez de","","<div id=""NoteTop""></div><div id=""olnid428""></div><div id=""olnid429""></div><div id=""olnid430""></div><div id=""olnid431""></div>",
24,"le musée","","<div id=""NoteTop""></div><div id=""olnid433""></div><div id=""olnid434""></div><div id=""olnid435""></div><div id=""olnid436""></div>",
25,"le Triangle d'or","","<div id=""NoteTop""></div><div id=""olnid438""></div><div id=""olnid439""></div><div id=""olnid440""></div><div id=""olnid441""></div>",
26,"le centre-ville","","<div id=""NoteTop""></div><div id=""olnid443""></div><div id=""olnid444""></div><div id=""olnid445""></div><div id=""olnid446""></div>",
27,"miroir","[mirwar]","n.m. 反射镜；镜子；镜子般的平面",
28,"incontournable","[ɛ̃kɔ̃turnabl]","adj. 不得不考虑的， 无法回避的；无法绕过的人[物]， 不能不考虑的人[物]",
29,"truc","[tryk]","n.m. 诀窍，巧妙办法；东西；某个人",
30,"la Dune du Pilat","","<div id=""NoteTop""></div><div id=""olnid448""></div><div id=""olnid449""></div><div id=""olnid450""></div><div id=""olnid451""></div>",
31,"conseiller","[kɔ̃seje, ɛr]","n. 顾问，参事，参赞；劝告者，建议者；参议员，参政员；推事",
32,"avoir tendance à","","<div id=""NoteTop""></div><div id=""olnid453""></div><div id=""olnid454""></div><div id=""olnid455""></div><div id=""olnid456""></div>",
33,"gavé de choses à faire","","<div id=""NoteTop""></div><div id=""olnid458""></div><div id=""olnid459""></div><div id=""olnid460""></div><div id=""olnid461""></div>",
34,"un parapluie","","<div id=""NoteTop""></div><div id=""olnid463""></div><div id=""olnid464""></div><div id=""olnid465""></div><div id=""olnid466""></div>",
35,"venir visiter quelque part","","<div id=""NoteTop""></div><div id=""olnid468""></div><div id=""olnid469""></div><div id=""olnid470""></div><div id=""olnid471""></div>",
36,"être de","","<div id=""NoteTop""></div><div id=""olnid473""></div><div id=""olnid474""></div><div id=""olnid475""></div><div id=""olnid476""></div>",
37,"le sud-ouest","","<div id=""NoteTop""></div><div id=""olnid478""></div><div id=""olnid479""></div><div id=""olnid480""></div><div id=""olnid481""></div>",
38,"dans les environs","","<div id=""NoteTop""></div><div id=""olnid483""></div><div id=""olnid484""></div><div id=""olnid485""></div><div id=""olnid486""></div>",
